Comment,Description,Designator,Footprint,LibRef,Quantity,Supplier Part Number 1

"NP0 50V","Capacitor","C1, C2, C3, C4, C5, C6, C8, C9, C10, C11, C12, C13, C14, C15, C16","0402s","Cap","17","490-3085-1-ND, 490-3896-1-ND, 709-1135-1-ND, 709-1222-1-ND"
"MicroAntenna","","E1","microantenna","MicroAntenna","1",""
"Inductor","Inductor","L3","0402-A","Inductor","1","PCD2369CT-ND"
"osram_hiled","","LED1","OSRAM LED","osram_hiled","1",""
"Res2","Resistor","R1, R2, R3, R6, R7, R8, R9, R15, R16","0402s","Res2","9","P22.0KLCT-ND"
"ZLED7022","ZLED 7022","U1","12utqfn","ZLED7022","1","1898432"
"Single_ASIC","","U2","Single_ASIC","Single_ASIC","1",""
"tps79915","","U3","SOT23-5AN","tps79915","1",""
"QFN24 4x4 package","2.4GHz Tranceiver with embedded MCU and 10 bit ADC","U5","NORDIC_QFN50P400X400X90-25N","nRF24LE1 - 4x4","1",""
"balun","","U11","balun","balun","1",""
"TSX-3225, 16MHz, Cl=9pF, +/-10ppm","Crystal","X1","bt-xtal 2.5 x 2 mm","BT-XTAL","1","644-1059-1-ND"
